,job-name,schedule,employment,education,experience,location,salary_max,salary_min
2,Оператор КЦ (исходящие),Полный рабочий день,Удаленная,Не указано,0,Нижегородская область,0,30000
0,Велокурьер в г. Вологда,Гибкий график,Полная занятость,Не указано,0,Вологодская область,0,30000
1,Специалист по сбору данных в г. Бокситогорск,Гибкий график,Полная занятость,Не указано,0,Ленинградская область,45000,35000
2,Курьер в г. Одинцово,Гибкий график,Полная занятость,Не указано,0,Московская область,45000,30000
0,Оператор КЦ (исходящие),Полный рабочий день,Удаленная,Не указано,0,Мурманская область,0,30000
1,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Орловская область,50000,25000
2,Специалист по сбору данных в г. нижний Новгород,Гибкий график,Полная занятость,Не указано,0,Нижегородская область,45000,35000
0,Велокурьер в г. Астрахань,Гибкий график,Полная занятость,Не указано,0,Астраханская область,0,30000
1,Оператор КЦ (входящие),Полный рабочий день,Удаленная,Не указано,0,Нижегородская область,0,30000
2,Велокурьер в г. Магнитогорск,Гибкий график,Полная занятость,Не указано,0,Челябинская область,0,30000
0,Курьер в г. Долгопрудный,Гибкий график,Полная занятость,Не указано,0,Московская область,45000,30000
1,Менеджер продаж страховых услуг,Гибкий график,Полная занятость,Не указано,0,Самарская область,150000,50000
2,Велокурьер в г. Саранск,Гибкий график,Полная занятость,Не указано,0,Мордовия республика,0,30000
0,Курьер в г. Саранск,Гибкий график,Полная занятость,Не указано,0,Мордовия республика,45000,30000
1,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Краснодарский край,50000,25000
2,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Самарская область,50000,25000
0,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Владимирская область,50000,25000
1,Менеджер продаж страховых услуг,Гибкий график,Полная занятость,Не указано,0,г Санкт-Петербург,150000,50000
2,Менеджер продаж страховых услуг,Гибкий график,Полная занятость,Не указано,0,Красноярский край,150000,50000
0,Оператор КЦ (входящие),Полный рабочий день,Удаленная,Не указано,0,Кемеровская область - Кузбасс область,0,30000
1,Курьер в г. Москва,Гибкий график,Полная занятость,Не указано,0,г Москва,120000,60000
2,Курьер в г. Реутов,Гибкий график,Полная занятость,Не указано,0,Московская область,45000,30000
0,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Тверская область,50000,25000
1,Курьер в г. Кемерово,Гибкий график,Полная занятость,Не указано,0,Кемеровская область - Кузбасс область,45000,30000
2,Курьер в г. Томск,Гибкий график,Полная занятость,Не указано,0,Томская область,45000,30000
0,Специалист по подсчету трафика в г. Владивосток,Гибкий график,Полная занятость,Не указано,0,Приморский край,0,20000
1,Курьер в г. Новосибирск,Гибкий график,Полная занятость,Не указано,0,Новосибирская область,51000,35000
2,Велокурьер в г. Оренбург,Гибкий график,Полная занятость,Не указано,0,Оренбургская область,0,30000
0,Оператор КЦ (исходящие),Полный рабочий день,Удаленная,Не указано,0,Воронежская область,0,30000
1,Курьер в г. Барнаул,Гибкий график,Полная занятость,Не указано,0,Алтайский край,45000,30000
2,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Воронежская область,50000,25000
0,Курьер в г. Калининград,Гибкий график,Полная занятость,Не указано,0,Калининградская область,70000,30000
1,Велокурьер в г. Нижнекамск,Гибкий график,Полная занятость,Не указано,0,Татарстан республика,0,30000
2,Велокурьер в г. Иваново,Гибкий график,Полная занятость,Не указано,0,Ивановская область,0,30000
0,Курьер в г. Орёл,Гибкий график,Полная занятость,Не указано,0,Орловская область,45000,30000
1,Специалист по сбору данных в г. Лодейное поле,Гибкий график,Полная занятость,Не указано,0,Ленинградская область,45000,35000
2,Специалист по сбору данных в г. Хабаровск,Гибкий график,Полная занятость,Не указано,0,Хабаровский край,45000,35000
0,Оператор КЦ (входящие),Полный рабочий день,Удаленная,Не указано,0,Башкортостан республика,0,30000
1,Велокурьер в г. Белгород,Гибкий график,Полная занятость,Не указано,0,Белгородская область,0,30000
2,Специалист по сбору данных в г. Салехард,Гибкий график,Полная занятость,Не указано,0,Ямало-Ненецкий автономный округ,45000,41000
0,Оператор КЦ (входящие),Полный рабочий день,Удаленная,Не указано,0,Новосибирская область,0,30000
1,Специалист по сбору данных в г. Оренбург,Гибкий график,Полная занятость,Не указано,0,Оренбургская область,45000,35000
2,Оператор КЦ (исходящие),Полный рабочий день,Удаленная,Не указано,0,Забайкальский край,0,30000
0,Курьер в г. Иркутск,Гибкий график,Полная занятость,Не указано,0,Иркутская область,45000,30000
1,Курьер в г. Санкт-Петербург,Гибкий график,Полная занятость,Не указано,0,г Санкт-Петербург,115000,50000
2,Велокурьер в г. Омск,Гибкий график,Полная занятость,Не указано,0,Омская область,0,30000
0,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Татарстан республика,50000,25000
1,Оператор КЦ (входящие),Полный рабочий день,Удаленная,Не указано,0,Челябинская область,0,30000
2,Курьер,Гибкий график,Полная занятость,Не указано,0,Ханты-Мансийский Автономный округ - Югра автономный округ,45000,30000
0,Велокурьер в г. Саратов,Гибкий график,Полная занятость,Не указано,0,Саратовская область,0,30000
1,Менеджер продаж страховых услуг,Гибкий график,Полная занятость,Не указано,0,Краснодарский край,150000,50000
2,Оператор колл-центра в г. Самара,Полный рабочий день,Полная занятость,Не указано,0,Самарская область,0,30000
0,Специалист по приёмке товара в г. Ростов-на-Дону,Сменный график,Полная занятость,Не указано,0,Ростовская область,0,35000
1,Курьер в г. Новороссийск,Гибкий график,Полная занятость,Не указано,0,Краснодарский край,60000,45000
2,Специалист по сбору данных в г. Южно-Сахалинск,Гибкий график,Полная занятость,Не указано,0,Сахалинская область,45000,35000
0,Специалист по сбору данных в г. Набережные Челны,Гибкий график,Полная занятость,Не указано,0,Татарстан республика,45000,35000
1,Оператор КЦ (входящие),Полный рабочий день,Удаленная,Не указано,0,Красноярский край,0,30000
2,Курьер в г. Смоленск,Гибкий график,Полная занятость,Не указано,0,Смоленская область,45000,30000
0,Курьер в г. Астрахань,Гибкий график,Полная занятость,Не указано,0,Астраханская область,45000,30000
1,Водитель-курьер,Сменный график,Полная занятость,Не указано,0,г Москва,150000,75000
2,Велокурьер в г. Нижний Новгород,Гибкий график,Полная занятость,Не указано,0,Нижегородская область,0,30000
0,Менеджер продаж страховых услуг,Гибкий график,Полная занятость,Не указано,0,Ростовская область,150000,50000
1,Специалист по сбору данных в г. Мышкин,Гибкий график,Полная занятость,Не указано,0,Ярославская область,45000,35000
2,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Краснодарский край,50000,25000
0,Оператор КЦ (исходящие),Полный рабочий день,Удаленная,Не указано,0,Хакасия республика,0,30000
1,Работник торгового зала,Гибкий график,Полная занятость,Не указано,0,Чувашская Республика - чувашия,50000,25000
2,Специалист по сбору данных в г. Екатеринбург,Гибкий график,Полная занятость,Не указано,0,Свердловская область,45000,35000
0,Менеджер по продажам IT услуг,Полный рабочий день,Полная занятость,Не указано,1,г Москва,200000,100000
1,Техник по эксплуатации и обслуживанию зданий,Сменный график,Полная занятость,Среднее профессиональное,3,г Москва,64000,50000
2,Сервисный инженер,Полный рабочий день,Полная занятость,Не указано,1,г Москва,150000,70000
0,штукатур маляр,Полный рабочий день,Временная,Не указано,0,Забайкальский край,70000,30000
1,Педагог-психолог (психолог в сфере образования),Неполный рабочий день,Частичная занятость,Не указано,0,Приморский край,0,12353
2,Учитель химии и биологии,Полный рабочий день,Полная занятость,Высшее,0,Приморский край,0,30000
0,Слесарь,Полный рабочий день,Полная занятость,Не указано,1,Ставропольский край,100000,40000
1,Пеший курьер,Неполный рабочий день,Частичная занятость,Не указано,0,Калининградская область,107000,107000
2,Сварщик,Полный рабочий день,Полная занятость,Не указано,1,Ставропольский край,100000,50000
0,Техник-диспетчер по пожарной безопасности,Сменный график,Полная занятость,Не указано,1,г Москва,80000,50000
1,Водитель-экспедитор с личным грузовым автомобиль,Полный рабочий день,Полная занятость,Не указано,1,г Санкт-Петербург,300000,150000
2,Заместитель главного бухгалтера,Полный рабочий день,Полная занятость,Не указано,1,Ульяновская область,0,0
0,Наладчик радиоэлектронной аппаратуры / Регулировщик РЭА,Полный рабочий день,Полная занятость,Не указано,3,г Санкт-Петербург,80000,80000
1,Монтажник слаботочных систем,Полный рабочий день,Полная занятость,Не указано,0,г Москва,110000,80000
2,Отделочник,Полный рабочий день,Полная занятость,Не указано,1,г Москва,120000,80000
0,Специалист договорного отдела,Полный рабочий день,Полная занятость,Не указано,3,г Санкт-Петербург,80000,75000
1,Бухгалтер,Полный рабочий день,Полная занятость,Среднее профессиональное,0,Башкортостан республика,37000,35000
2,Оператор,Полный рабочий день,Полная занятость,Не указано,0,Башкортостан республика,35000,30000
0,Упаковщик,Сменный график,Полная занятость,Не указано,0,г Москва,60000,60000
1,Кладовщик,Сменный график,Полная занятость,Не указано,0,г Москва,60000,60000
2,"Водитель-экспедитор на личном авто (портер, газель)",Полный рабочий день,Полная занятость,Не указано,1,г Москва,100000,100000
0,Врач-отоларинголог,Полный рабочий день,Полная занятость,Высшее,3,г Санкт-Петербург,60000,60000
1,Стилист / Продавец-консультант в магазин одежды,Сменный график,Полная занятость,Не указано,1,г Санкт-Петербург,120000,70000
2,Грузчик,Полный рабочий день,Полная занятость,Не указано,0,Новосибирская область,45000,40000
0,Главный специалист (82296),Полный рабочий день,Полная занятость,Не указано,3,Новосибирская область,0,60688
1,Главный инженер,Полный рабочий день,Полная занятость,Высшее,3,Астраханская область,130000,85000
2,Водитель категории E,Полный рабочий день,Полная занятость,Не указано,3,Московская область,100000,100000
0,Повар,Сменный график,Полная занятость,Среднее профессиональное,1,Белгородская область,20000,18300
1,Инженер-программист,Полный рабочий день,Полная занятость,Не указано,0,Белгородская область,16500,16242
2,Помощник руководителя отдела по подбору персонала,Полный рабочий день,Полная занятость,Среднее,0,Крым республика,40000,35000
0,Менеджер по продажам,Полный рабочий день,Полная занятость,Не указано,0,г Москва,100000,70000
1,Менеджер по продажам (B2B) / Sales Manager (IT),Полный рабочий день,Полная занятость,Не указано,1,Рязанская область,60000,60000
2,Учитель английского языка,Полный рабочий день,Полная занятость,Не указано,0,Владимирская область,47000,34000
0,Сантехник,Полный рабочий день,Полная занятость,Не указано,1,Рязанская область,35000,35000
1,"Продавец-консультант (ТЦ Стройка, г. Луховицы)",Полный рабочий день,Полная занятость,Не указано,1,Московская область,100000,45000
2,Водитель категории E,Сменный график,Полная занятость,Не указано,3,Московская область,70000,70000
0,Водитель-экспедитор,Полный рабочий день,Полная занятость,Не указано,1,Московская область,100000,90000
1,Автослесарь-автомеханик,Полный рабочий день,Полная занятость,Не указано,1,Липецкая область,150000,70000
2,Грузчик-комплектовщик,Полный рабочий день,Полная занятость,Не указано,0,г Москва,70000,50000
0,Главный инженер,Полный рабочий день,Полная занятость,Не указано,6,Московская область,100000,100000
1,Машинист экскаватора-погрузчика,Полный рабочий день,Полная занятость,Не указано,3,Воронежская область,70500,70500
2,Ведущий конструктор / Начальник конструкторского отдела,Полный рабочий день,Полная занятость,Не указано,1,Омская область,150000,100000
0,Рабочий на производство,Полный рабочий день,Полная занятость,Не указано,0,Новосибирская область,75000,35000
1,Дезинфектор,Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,100000,45000
2,Менеджер по продажам,Полный рабочий день,Полная занятость,Не указано,1,г Санкт-Петербург,130000,90000
0,Воспитатель / Няня,Полный рабочий день,Полная занятость,Не указано,0,Новосибирская область,35000,35000
1,"Повар х/ц, г/ц",Полный рабочий день,Полная занятость,Не указано,0,г Санкт-Петербург,70000,70000
2,учитель начальных классов,Полный рабочий день,Полная занятость,Не указано,0,Воронежская область,40000,30000
0,Воспитатель,Сменный график,Полная занятость,Не указано,0,Белгородская область,30000,30000
1,Помощник воспитателя,Полный рабочий день,Полная занятость,Не указано,0,Белгородская область,27000,27000
2,Стропальщик,Сменный график,Полная занятость,Не указано,1,г Санкт-Петербург,60000,60000
0,Главный технолог производства,Полный рабочий день,Полная занятость,Высшее,5,Ингушетия республика,130000,80000
1,Зоотехник,Полный рабочий день,Полная занятость,Среднее,2,Ингушетия республика,50000,35000
2,Главный технолог (с функциями глубокой переработки мяса),Полный рабочий день,Полная занятость,Среднее,3,Ингушетия республика,90000,60000
0,"Инженер-конструктор, инженер-проектировщик",Полный рабочий день,Полная занятость,Высшее,3,Московская область,120000,80000
1,Педагог начальных классов,Полный рабочий день,Полная занятость,Высшее,1,Иркутская область,100000,40000
2,Продавец-консультант,Полный рабочий день,Полная занятость,Не указано,0,Краснодарский край,50000,30000
0,"Уборщица, уборщик",Полный рабочий день,Полная занятость,Не указано,0,Ярославская область,0,30000
1,Дворник,Полный рабочий день,Полная занятость,Не указано,0,Ярославская область,0,30000
2,горничные,Полный рабочий день,Полная занятость,Не указано,0,Кемеровская область - Кузбасс область,35000,30000
